Type,Offset,Index,Note,Value
,0,,,
Document,O,0,reserved,0
,,1,version,"0:reserved
1-7"
,,2,,
,,3,,
,,4,type,"0:reserved
1:CBOR"
,,5,,
,,6,,
,,7,,
Index,I,0,reserved,0
,,1,version,"0:reserved
1-7"
,,2,,
,,3,,
,,4,type,"0:reserved
1:PRIMARY
2:SECONDARY"
,,5,,
,,6,,
,,7,,
Database,S,0,reserved,0
,,1,version,"0:reserved
1-7"
,,2,,
,,3,,
,,4,type,"0:reserved
1:CBOR"
,,5,,
,,6,,
,,7,,
Schema,S,0,reserved,0
,,1,version,"0:reserved
1-7"
,,2,,
,,3,,
,,4,type,"0:reserved
1:CBOR"
,,5,,
,,6,,
,,7,,
